I: {'mean': 0.020210300731595944, 'std': 0.11150267533661984, 'min': -1.4306785, 'max': 1.6999449, 'p10': -0.02873094230890274, 'p50': 0.0, 'p90': 0.06836527436971664, 'skewness': 5.704631570096723, 'kurtosis': 47.16547601527401}
II: {'mean': 0.020836763394830326, 'std': 0.11607728531044835, 'min': -1.5056051, 'max': 1.8008736, 'p10': -0.030333261378109454, 'p50': 0.0, 'p90': 0.08761750534176825, 'skewness': 4.731390977990774, 'kurtosis': 45.25136377224199}
III: {'mean': -6.667575029847418e-05, 'std': 0.09431943857709071, 'min': -1.9538245, 'max': 1.9549592, 'p10': -0.02779029496014118, 'p50': 0.0, 'p90': 0.03618437089025974, 'skewness': -2.0450333890439123, 'kurtosis': 65.99670687796082}
aVR: {'mean': -0.020688415152238973, 'std': 0.10362956039778738, 'min': -1.3797138, 'max': 1.3580472, 'p10': -0.07921223416924476, 'p50': 0.0, 'p90': 0.027986883185803876, 'skewness': -5.2187450040515175, 'kurtosis': 36.30449707025044}
aVL: {'mean': 0.00996262479227609, 'std': 0.08534158593244463, 'min': -1.5504509, 'max': 1.5524985, 'p10': -0.02162941638380289, 'p50': 0.0, 'p90': 0.036740737035870545, 'skewness': 5.707301389948541, 'kurtosis': 62.04714848752219}
aVF: {'mean': 0.010286185637418984, 'std': 0.08983291355833277, 'min': -1.6281737, 'max': 1.6758642, 'p10': -0.023837236501276487, 'p50': 0.0, 'p90': 0.05626455694437026, 'skewness': 3.2120364543639703, 'kurtosis': 61.06418135963335}
V1: {'mean': -0.019234471570198974, 'std': 0.1362846739391825, 'min': -2.1934323, 'max': 2.1109068, 'p10': -0.04141458719968795, 'p50': 0.0, 'p90': 0.023251842148602004, 'skewness': -5.211536814762501, 'kurtosis': 46.2680188393681}
V2: {'mean': -0.009064111692888102, 'std': 0.2100180089016633, 'min': -3.3370695, 'max': 3.3370914, 'p10': -0.030113733187317845, 'p50': 0.0, 'p90': 0.0821165770292282, 'skewness': -4.103871021819737, 'kurtosis': 40.94840702174505}
V3: {'mean': 0.008207995073836606, 'std': 0.2069770923675465, 'min': -3.346321, 'max': 3.3471346, 'p10': -0.03402957618236542, 'p50': 0.0, 'p90': 0.09927055835723873, 'skewness': -0.7241032400378246, 'kurtosis': 36.98249303511423}
V4: {'mean': 0.025047825026466273, 'std': 0.21045867623040146, 'min': -3.3637848, 'max': 3.4160047, 'p10': -0.03290863670408725, 'p50': 0.0, 'p90': 0.09269147217273702, 'skewness': 4.119764178107254, 'kurtosis': 43.50224530657463}
V5: {'mean': 0.030376285007301853, 'std': 0.19008615978988805, 'min': -2.4720058, 'max': 3.1960237, 'p10': -0.02815362531691789, 'p50': 0.0, 'p90': 0.08125856071710577, 'skewness': 5.879454413655943, 'kurtosis': 49.87058880250175}
V6: {'mean': 0.027390327408697113, 'std': 0.151206788742001, 'min': -2.07805, 'max': 2.5261693, 'p10': -0.023411638289690017, 'p50': 0.0, 'p90': 0.06964809074997902, 'skewness': 6.304502957274768, 'kurtosis': 53.67211171822866}
all_leads: {'mean': 0.008605387435814781, 'std': 0.1508619043601351, 'min': -3.3637848, 'max': 3.4160047, 'p10': -0.031235598772764203, 'p50': 0.0, 'p90': 0.055944716930389396, 'skewness': 0.4652101375619593, 'kurtosis': 66.18851447785492}
